target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,method,K,executed,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,temperature,min_hamming_to_train,unique_fraction,ratio_1000shots,max_ratio_any_sample,sampled,filter_spearman
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,random,1,1,0.06912314388896038,1.2115744815758753,0.5006666666666668,0.5523333333333332,0.5349397590361447,0.8554216867469882,0.051751817585692,0.18855801576238726,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,random,10,10,0.05119900214255947,1.0465853939018206,0.54,0.5566666666666666,0.5614457831325301,0.8554216867469879,0.03688790530676302,0.18855801576238732,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,random,100,100,0.041735928685352315,0.9466718477374647,0.55,0.55,0.5301204819277109,0.8554216867469879,0.011003478900649703,0.1885580157623873,,,,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator_T1.0,1,1,0.05456662430182493,1.0779267322668686,0.5796666666666667,0.588,0.6098795180722891,0.8554216867469882,0.08038887614957822,0.18855801576238726,1.0,6.14,0.96,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator_T1.0,10,10,0.04332443802493892,0.9641541890436617,0.6166666666666667,0.6166666666666667,0.6072289156626505,0.8554216867469879,0.0689559678738018,0.18855801576238732,1.0,6.14,0.96,,,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator_T1.0,100,100,0.03756834325680345,0.8981635848634506,0.6833333333333333,0.6833333333333333,0.6265060240963856,0.8554216867469879,0.08457904578083181,0.1885580157623873,1.0,6.14,0.96,0.6204819277108434,0.7469879518072289,,
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator+filter_T1.0,1,1,0.05227318107528953,1.055506933478692,0.5958333333333333,0.6008333333333333,0.5842168674698796,0.8554216867469882,0.07720871436473048,0.18855801576238726,1.0,,,,,1000.0,0.1883487455218641
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator+filter_T1.0,10,10,0.041373330876160984,0.9423652729593337,0.6416666666666666,0.6416666666666666,0.6180722891566265,0.8554216867469879,0.07827881566189036,0.18855801576238732,1.0,,,,,1000.0,0.1883487455218641
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator+filter_T1.0,100,100,0.038475986935859414,0.9089485594428066,0.65,0.65,0.6024096385542169,0.8554216867469879,0.07388481680436815,0.1885580157623873,1.0,,,,,1000.0,0.1883487455218641
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,generator_T0.7,1,1,0.048572341953365517,1.020532561017905,0.6028333333333333,0.6041666666666666,0.6630120481927709,0.8554216867469882,0.09443383324323124,0.18855801576238726,0.7,0.82,0.44,,,,
