target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,restarts,steps,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,seconds
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162,4,4,400,0.021578768833065146,0.5755762831014152,0.8833333333333333,0.8833333333333333,0.7349397590361446,0.8433734939759037,0.11641297774875917,0.24963487008347066,156.50822380000318
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290,4,4,400,0.0024691481101057036,0.1962796287794604,1.0,1.0,0.8433734939759037,0.8433734939759037,0.19858705542281324,0.23206808453459954,129.3040050999989
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580,4,4,400,0.0019249396290089594,0.16966639266475647,0.9833333333333333,0.9833333333333333,0.8313253012048193,0.8433734939759037,0.20708364420762165,0.22786357537144372,117.75895130000572
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113,4,4,400,0.0028457773325227045,0.23134011033003737,0.9833333333333333,0.9833333333333333,0.8313253012048193,0.8433734939759037,0.17774932594675658,0.2160602369433754,134.61923949999618
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866,4,4,400,0.0022067495024038703,0.20380726038413594,0.9833333333333333,0.9833333333333333,0.9156626506024096,0.927710843373494,0.19136412524500696,0.1973569370597809,133.51827979999507
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920,4,4,400,0.015607259284927648,0.45387634246927566,0.85,0.85,0.7108433734939759,0.7951807228915663,0.1543561256262871,0.2385069877283571,137.27986090000195
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701,4,4,400,0.005085487800951556,0.29251674035103487,0.9833333333333333,0.9833333333333333,0.8192771084337349,0.8313253012048193,0.19043929612743715,0.22294310034768772,169.6052903000018
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604,4,4,400,0.004649374281261801,0.2660954761662839,0.9666666666666667,0.9666666666666667,0.8313253012048193,0.8795180722891566,0.22594174487422236,0.24798306321644104,147.7664908000006
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107,4,4,400,0.0017759890152460758,0.19996576249390702,0.9666666666666667,0.9666666666666667,0.7951807228915663,0.8192771084337349,0.15825104292545245,0.18777367456717597,145.0375578000021
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,4,4,400,0.003983174144909885,0.2924550119589247,0.9833333333333333,0.9833333333333333,0.8433734939759037,0.8554216867469879,0.15299853382667222,0.1885580157623873,144.7817603999938
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,4,4,400,0.0012518523603342255,0.1788678223123903,0.9833333333333333,0.9833333333333333,0.8554216867469879,0.8674698795180723,0.15953660906717257,0.1861082690956693,144.31567560000258
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,4,4,400,0.0014026791187250673,0.16029156042334095,0.9833333333333333,0.9833333333333333,0.7951807228915663,0.8313253012048193,0.19834464955551018,0.2121403059932279,139.00433850000263
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,4,4,400,0.003419673359797961,0.23907500825239192,0.9666666666666667,0.9666666666666667,0.7831325301204819,0.8313253012048193,0.16594940900791116,0.19462156139847797,136.28892859999905
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,4,4,400,0.0010499825351064581,0.134205245059069,1.0,1.0,0.8313253012048193,0.8313253012048193,0.1926233257575387,0.19334668221545823,139.84485850000056
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500,4,4,400,0.010611308753520734,0.4301603532925524,0.9666666666666667,0.9666666666666667,0.927710843373494,0.9518072289156626,0.1422900103765079,0.22403917148697883,122.96779830000014
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375,4,4,400,0.00624299852812976,0.35426407583807834,0.9833333333333333,0.9833333333333333,0.8554216867469879,0.891566265060241,0.15421910587233384,0.21860284609406294,124.17090530000132
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750,4,4,400,0.006700134711115962,0.35808454284692454,0.9833333333333333,0.9833333333333333,0.9397590361445783,0.9518072289156626,0.14505124378037434,0.2239180300176315,131.2397331999964
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500,4,4,400,0.011428865626532796,0.43558003579680127,0.9833333333333333,0.9833333333333333,0.9156626506024096,0.927710843373494,0.16141338004581096,0.23584075955139858,125.47407490000478
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500,4,4,400,0.008687154621738441,0.3633790821113969,0.9666666666666667,0.9666666666666667,0.8433734939759037,0.8674698795180723,0.17588016098603634,0.2425291035804361,90.40276780000568
T8_s3_final,8,3,final,False,3156,81.0,-56.24671446207684,1500,4,4,400,0.016486971503799484,0.5163643761116055,0.9166666666666666,0.9166666666666666,0.8192771084337349,0.9759036144578314,0.14008184156369485,0.23393075497182825,131.9112185999984
T8_s4_final,8,4,final,False,3457,78.0,-52.38811036600706,1500,4,4,400,0.009453885128218301,0.39518434748544107,0.9833333333333333,0.9833333333333333,0.927710843373494,0.9397590361445783,0.15706508504540645,0.23755894236977732,99.38377819999732
T8_s5_final,8,5,final,False,3721,82.0,-58.74879440787134,1315,4,4,400,0.010716821258635488,0.4104480464071204,0.95,0.95,0.9036144578313253,0.9879518072289156,0.18830003226701802,0.2527900871332837,82.32532799999899
T8_s6_final,8,6,final,False,4022,82.0,-57.04230942581566,1500,4,4,400,0.010102691521124207,0.41770226319276554,0.95,0.95,0.927710843373494,0.9879518072289156,0.1589596866455044,0.22756330824415563,74.56373149999854
