target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,D_c_search,D_c_refined,D_c_snapped,A_x_refined,ratio_refined,A_x_snapped,ratio_snapped,mean_abs_angle_move,seconds
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162,8,0.03095664114412736,0.008154505617866369,0.040553150212282896,0.9666666666666667,0.8433734939759037,0.7666666666666667,0.6746987951807228,0.6511315654517409,13.456739300003392
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290,8,0.026330812928043533,0.01536509417050434,0.05780179046485234,0.9166666666666666,0.7349397590361446,0.6666666666666666,0.5542168674698795,0.5798715058294425,10.93431000000055
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580,8,0.015658647310278637,0.0023186754089188056,0.04679157736262209,0.9833333333333333,0.8313253012048193,0.75,0.6144578313253012,0.6256467104335421,10.463457699999708
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113,8,0.02317468274635946,0.0014445327798003097,0.03300212084951913,0.9833333333333333,0.8313253012048193,0.7,0.5301204819277109,0.46948423349503104,10.041712500002177
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866,8,0.015496326954484966,0.011601660850004913,0.020705065699047485,0.85,0.7469879518072289,0.8166666666666667,0.6987951807228916,0.26213657577022986,11.893846299997676
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920,8,0.023598568416988076,0.014860465204001869,0.034435607478001846,0.9166666666666666,0.7590361445783133,0.85,0.7108433734939759,0.6467910633919545,11.318559399998776
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701,8,0.030558527288726618,0.022291188696667012,0.047420071993534235,0.9,0.7831325301204819,0.65,0.5783132530120482,0.35783202612628356,10.252187099998991
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604,8,0.03627633858779776,0.028138301897964457,0.045459183259130814,0.95,0.7951807228915663,0.8,0.6867469879518072,0.38652514872127086,9.975363900000957
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107,8,0.013394032668190432,0.0065503666372694275,0.03215161063216897,0.9666666666666667,0.7951807228915663,0.7666666666666667,0.6024096385542169,0.3705886277107682,9.706196600000112
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,0.01595815201287114,0.0009797303774390909,0.0535459385165297,1.0,0.8554216867469879,0.5833333333333334,0.6265060240963856,0.624340954345093,9.784557700000732
