pool,tokens,target,teacher_layers,discrete_layers,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,D_c_at_5000,seconds
pool94,97,T4_s7_final,4,8,0.01657362062205993,0.5965586098997364,0.8333333333333334,0.8333333333333334,0.6867469879518072,0.8554216867469879,0.08299963610782207,0.1885580157623873,0.02109415320070954,86.26285520000238
pool94,97,T4_s8_final,4,8,0.0173038631237752,0.6650085037486894,0.85,0.85,0.7349397590361446,0.8674698795180723,0.10153007779403139,0.1861082690956693,0.021972453397739313,87.72547730000224
pool94,97,T4_s9_final,4,8,0.013670123915474905,0.5004004787132794,0.95,0.95,0.8433734939759037,0.8313253012048193,0.11176527868972591,0.2121403059932279,0.019859120230648574,80.15882740000234
pool94,97,T8_s7_final,8,8,0.02456562339620359,0.6305433427273229,0.8333333333333334,0.8333333333333334,0.7349397590361446,0.8795180722891566,0.1132747561101699,0.2398042697687081,0.03342935394054273,82.92317190000176
pool94,97,T8_s8_final,8,8,0.025222011270791555,0.6880645502349765,0.8333333333333334,0.8333333333333334,0.6746987951807228,0.9397590361445783,0.10402949314665083,0.21713757020705818,0.030706192111340905,73.27327829999558
pool94,97,T8_s9_final,8,8,0.03156426286622878,0.783157342114041,0.7833333333333333,0.7833333333333333,0.7108433734939759,0.9156626506024096,0.08694442801188076,0.22798176828414007,0.033319644460993544,77.24558059999981
pool25,25,T4_s7_final,4,8,0.01595815215306764,0.5853770910470716,0.8833333333333333,0.8833333333333333,0.7228915662650602,0.8554216867469879,0.09473580199469152,0.1885580157623873,0.020167538447775545,88.04838320000272
pool25,25,T4_s8_final,4,8,0.012994805728411333,0.5762893037357132,0.8666666666666667,0.8666666666666667,0.6987951807228916,0.8674698795180723,0.07759485360095814,0.1861082690956693,0.014008663651002534,90.53702209999756
pool25,25,T4_s9_final,4,8,0.009384436508532866,0.4146060079204557,0.95,0.95,0.7710843373493976,0.8313253012048193,0.13513442559937985,0.2121403059932279,0.016794929289085513,77.6010135999968
pool25,25,T8_s7_final,8,8,0.03043233808959802,0.7018086391729056,0.8333333333333334,0.8333333333333334,0.6626506024096386,0.8795180722891566,0.11168126436521819,0.2398042697687081,0.03608139499795199,91.1434733999995
pool25,25,T8_s8_final,8,8,0.02252418549030738,0.650225313932067,0.8166666666666667,0.8166666666666667,0.7831325301204819,0.9397590361445783,0.08781131981270726,0.21713757020705818,0.026343009583338288,91.31824239999696
pool25,25,T8_s9_final,8,8,0.02293283122452579,0.6675442132308873,0.8666666666666667,0.8666666666666667,0.7469879518072289,0.9156626506024096,0.09170276778069117,0.22798176828414007,0.026495386919965065,85.21873740000592
