target,teacher_layers,seed,stage,holdout,corpus_index,target_cut,target_loss,step,discrete_layers,seq_len,budget,evaluations_at_best,D_c,rel_err,A_x,A_x_flip,ratio,target_ratio,median_abs_corr,target_median_abs_corr,ratio_1000shots,two_qubit,non_clifford,random_D_c_mean,random_D_c_min,random_A_x_mean,D_c_at_1000,D_c_at_5000,seconds
T4_s0_final,4,0,final,False,233,70.0,-38.85779783746147,1162,8,48,20000,19060,0.030956641114457045,0.6893923743771689,0.8666666666666667,0.8666666666666667,0.7710843373493976,0.8433734939759037,0.07319217748357176,0.24963487008347066,0.7012048192771084,20,38,0.08702896612012659,0.06223819229759083,0.49875,0.04412837363301441,0.03882835538500172,82.69928340000115
T4_s0_q25,4,0,q25,False,58,70.0,-36.887170409833494,290,8,48,20000,19210,0.026330812843476166,0.6409642248636782,0.8166666666666667,0.8166666666666667,0.6626506024096386,0.8433734939759037,0.10035657733238029,0.23206808453459954,0.677710843373494,20,38,0.0860680159746796,0.060838464667006535,0.49875,0.0391350967389352,0.030697898544101227,75.6715292000008
T4_s0_q50,4,0,q50,False,116,70.0,-37.606646055523235,580,8,48,20000,18560,0.015658647415504087,0.4839097718500038,0.85,0.85,0.6626506024096386,0.8433734939759037,0.15044932453095747,0.22786357537144372,0.7126506024096385,20,42,0.08883950181485317,0.06250373349275241,0.49875,0.0446586982059092,0.018885778251727395,74.94637789999979
T4_s1_final,4,1,final,False,457,70.0,-38.16458679790351,1113,8,48,20000,19760,0.02317468277769136,0.6601724240564733,0.8333333333333334,0.8333333333333334,0.6506024096385542,0.8433734939759037,0.10573939038574068,0.2160602369433754,0.6090361445783132,20,35,0.07494198741356174,0.05124127612454,0.4984166666666667,0.03739719383360477,0.02935033570896184,76.12921629999983
T4_s2_final,4,2,final,False,632,77.0,-40.824787820152935,866,8,48,20000,19310,0.015496327038670023,0.5400792838808606,0.8666666666666667,0.8666666666666667,0.7590361445783133,0.927710843373494,0.10024491211159758,0.1973569370597809,0.7487951807228915,20,34,0.07443591544348854,0.05171193151494021,0.4960833333333333,0.035541994367794885,0.027943751920620732,80.64783439999883
T4_s3_final,4,3,final,False,817,66.0,-34.34112159709193,920,8,48,20000,19960,0.023598568306566235,0.558106462802144,0.8333333333333334,0.8333333333333334,0.7469879518072289,0.7951807228915663,0.13968003089582484,0.2385069877283571,0.7271084337349398,20,41,0.09610937997751089,0.06843823972912161,0.5029166666666667,0.0427497854446229,0.030591173830152234,77.2995239999982
T4_s4_final,4,4,final,False,959,69.0,-38.21311033149506,701,8,48,20000,19110,0.030558527547848227,0.7170519626291797,0.8166666666666667,0.8166666666666667,0.6987951807228916,0.8313253012048193,0.05161724109512926,0.22294310034768772,0.6668674698795181,20,38,0.0800597324234333,0.048038344332774006,0.5064166666666666,0.04161991099035139,0.030911390677707942,76.81408240000019
T4_s5_final,4,5,final,False,1081,73.0,-43.25727571708896,604,8,48,20000,13560,0.036276338630039304,0.743279167153955,0.7833333333333333,0.7833333333333333,0.6987951807228916,0.8795180722891566,0.07554939418436285,0.24798306321644104,0.6801204819277109,20,38,0.08683139218215179,0.04367817265229256,0.5015833333333333,0.049718677906354126,0.0372905340262677,74.86094450000019
T4_s6_final,4,6,final,False,1304,68.0,-29.64707795779421,1107,8,48,20000,19760,0.013394032593967814,0.5491502448595681,0.8833333333333333,0.8833333333333333,0.7349397590361446,0.8192771084337349,0.09606206337067286,0.18777367456717597,0.7066265060240964,20,35,0.06595598096167761,0.04086694931206428,0.4965833333333334,0.020327754753088165,0.015440737302243513,74.86670029999732
T4_s7_final,4,7,final,True,1548,71.0,-35.68206744446223,1213,8,48,20000,19310,0.01595815215306764,0.5853770910470716,0.8833333333333333,0.8833333333333333,0.7228915662650602,0.8554216867469879,0.09473580199469152,0.1885580157623873,0.6903614457831325,20,33,0.0687359906114427,0.04239458525654065,0.4927500000000001,0.02620428761168688,0.020167538447775545,79.6858934999982
T4_s8_final,4,8,final,True,1727,72.0,-36.66570584041992,889,8,48,20000,19260,0.012994805728411333,0.5762893037357132,0.8666666666666667,0.8666666666666667,0.6987951807228916,0.8674698795180723,0.07759485360095814,0.1861082690956693,0.6951807228915663,20,33,0.06093244669502571,0.03693869115432854,0.49674999999999997,0.01990752418310136,0.014008663651002534,81.00899709999794
T4_s9_final,4,9,final,True,1952,69.0,-34.45158853023959,1118,8,48,20000,18360,0.009384436508532866,0.4146060079204557,0.95,0.95,0.7710843373493976,0.8313253012048193,0.13513442559937985,0.2121403059932279,0.7698795180722892,20,38,0.07511883745996163,0.04745901838879219,0.50125,0.024219166165357367,0.016794929289085513,69.2370762999999
T4_s9_q25,4,9,q25,True,1784,69.0,-32.669738475542985,280,8,48,20000,19910,0.011981474021203904,0.44750407264463454,0.85,0.85,0.7228915662650602,0.8313253012048193,0.10835037672058816,0.19462156139847797,0.7271084337349398,20,40,0.08024601060749262,0.05421065330033188,0.50125,0.026101938327449812,0.01473565476273655,76.35071980000066
T4_s9_q50,4,9,q50,True,1840,69.0,-33.05738825954153,560,8,48,20000,18610,0.013440634831493242,0.48016261438837,0.9,0.9,0.7108433734939759,0.8313253012048193,0.11960970969940968,0.19334668221545823,0.6542168674698795,20,37,0.07871625092653188,0.05283146901533585,0.50125,0.028673325602464973,0.016428811369786755,82.68816000000152
T8_s0_final,8,0,final,False,2253,79.0,-52.130100036833184,1500,8,48,20000,18860,0.02431083600512415,0.6510972355169964,0.8333333333333334,0.8333333333333334,0.7108433734939759,0.9518072289156626,0.11206198959329533,0.22403917148697883,0.6578313253012048,20,40,0.079610007507422,0.05474247109032281,0.4955833333333334,0.03433298154555322,0.02771110541365629,82.13371449999977
T8_s0_q25,8,0,q25,False,2028,74.0,-42.59253568733949,375,8,48,20000,18760,0.0181659126069084,0.6043090649189939,0.8833333333333333,0.8833333333333333,0.7349397590361446,0.891566265060241,0.13435418163005022,0.21860284609406294,0.7054216867469879,20,36,0.07159972841832042,0.04633068290207822,0.4960833333333333,0.028212284354994115,0.019909839598550413,87.1622320000024
T8_s0_q50,8,0,q50,False,2103,79.0,-49.53792869717928,750,8,48,20000,19210,0.0191842625137199,0.6059214981376,0.8833333333333333,0.8833333333333333,0.8192771084337349,0.9518072289156626,0.11551794686448599,0.2239180300176315,0.7566265060240963,20,37,0.0742633195435574,0.050521177918711836,0.4955833333333334,0.03313140091360999,0.02447125619060679,85.88946919999944
T8_s1_final,8,1,final,False,2554,77.0,-50.204804542250805,1500,8,48,20000,18860,0.023800531563592166,0.6285788026157125,0.8833333333333333,0.8833333333333333,0.7951807228915663,0.927710843373494,0.09291408070792553,0.23584075955139858,0.7710843373493976,20,39,0.0813240064173602,0.04977539496644679,0.50325,0.03538406544929634,0.027292298849419663,85.07374139999956
T8_s2_final,8,2,final,False,2855,72.0,-42.76650539458483,1500,8,48,20000,18760,0.026238074275967117,0.6315200251800507,0.9333333333333333,0.9333333333333333,0.7710843373493976,0.8674698795180723,0.10444307276086744,0.2425291035804361,0.7704819277108435,20,33,0.08609685475055481,0.05575606083932545,0.5040833333333333,0.03956321344540075,0.03295674583541168,87.5865976999994
T8_s3_final,8,3,final,False,3156,81.0,-56.24671446207684,1500,8,48,20000,18810,0.023289805065546676,0.6137178512806619,0.8666666666666667,0.8666666666666667,0.7590361445783133,0.9759036144578314,0.1162714119650039,0.23393075497182825,0.7240963855421687,20,32,0.08283014653766854,0.04742204177079748,0.5010833333333333,0.0396150512394964,0.026544655591933412,83.0986868
T8_s4_final,8,4,final,False,3457,78.0,-52.38811036600706,1500,8,48,20000,17710,0.02801909973162917,0.6803331965758538,0.85,0.85,0.8072289156626506,0.9397590361445783,0.09944271173887304,0.23755894236977732,0.8,20,37,0.0811789735870996,0.05521485368840132,0.49975,0.03999239152346029,0.033086141729607214,90.30226070000208
T8_s5_final,8,5,final,False,3721,82.0,-58.74879440787134,1315,8,48,20000,19460,0.02519038110328811,0.6292780281655316,0.9166666666666666,0.9166666666666666,0.8795180722891566,0.9879518072289156,0.09876179822901543,0.2527900871332837,0.8506024096385542,20,34,0.08569773452426478,0.057859171294790436,0.49491666666666667,0.04043441275124169,0.030459913615271304,91.58107899999959
T8_s6_final,8,6,final,False,4022,82.0,-57.04230942581566,1500,8,48,20000,18110,0.031923076537722674,0.74250717005495,0.85,0.85,0.7590361445783133,0.9879518072289156,0.07070198638265393,0.22756330824415563,0.7337349397590361,20,36,0.07872796366652304,0.054434815437549675,0.5009166666666667,0.04004199200682958,0.03440516067891326,92.79335810000339
T8_s7_final,8,7,final,True,4323,73.0,-44.73677744261605,1500,8,48,20000,19760,0.03043233808959802,0.7018086391729056,0.8333333333333334,0.8333333333333334,0.6626506024096386,0.8795180722891566,0.11168126436521819,0.2398042697687081,0.6692771084337349,20,33,0.08372011619035304,0.0572073594082912,0.4975833333333334,0.04805058800613495,0.03608139499795199,90.89102769999954
T8_s8_final,8,8,final,True,4624,78.0,-49.27619636986244,1500,8,48,20000,15460,0.02252418549030738,0.650225313932067,0.8166666666666667,0.8166666666666667,0.7831325301204819,0.9397590361445783,0.08781131981270726,0.21713757020705818,0.7192771084337349,20,30,0.073768217691371,0.04485837091834274,0.5045833333333333,0.03587205750722339,0.026343009583338288,90.54767760000323
T8_s9_final,8,9,final,True,4925,76.0,-46.40126823483637,1500,8,48,20000,18410,0.02293283122452579,0.6675442132308873,0.8666666666666667,0.8666666666666667,0.7469879518072289,0.9156626506024096,0.09170276778069117,0.22798176828414007,0.7325301204819277,20,34,0.07266144624004908,0.046946059020691155,0.5059166666666667,0.03400551513880518,0.026495386919965065,91.85975759999928
T8_s9_q25,8,9,q25,True,4700,76.0,-43.02120271580272,375,8,48,20000,13560,0.0135898613800428,0.5320507515810412,0.8666666666666667,0.8666666666666667,0.7469879518072289,0.9156626506024096,0.12301549105105215,0.20244843725912437,0.7578313253012048,20,36,0.06926867206945345,0.04271880145688097,0.5059166666666667,0.029859478332840257,0.017911453464352172,93.13468559999819
T8_s9_q50,8,9,q50,True,4775,76.0,-45.58770120603343,750,8,48,20000,19010,0.0177204411416627,0.5839889643961548,0.8833333333333333,0.8833333333333333,0.8313253012048193,0.9156626506024096,0.10010734335698263,0.22536938992758793,0.7951807228915663,20,38,0.07318879023394781,0.04660998007472815,0.5059166666666667,0.035914006125041094,0.022512118505666978,93.2188614000006
