family,instance,m,n,arm,run,best_known,ratio_raw,ratio_ls,ratio_1000shots,median_abs_corr,evals_to_0.75,evals_to_0.8,evals_to_0.85,evals_to_0.9,transfer_source,pretrain_evaluations,pretrain_val_nll,seconds
reg3,reg3_m60_s2,60,6,es_1_2,0,81.0,0.8888888888888888,0.9259259259259259,0.8222222222222222,0.11840180546460818,260,260,5010,,,0,,73.8746828000294
reg3,reg3_m60_s2,60,6,es_1_2,1,81.0,0.8271604938271605,0.9135802469135802,0.7450617283950618,0.09845184196980644,510,1510,,,,0,,72.38971929997206
reg3,reg3_m60_s2,60,6,es_1_2,2,81.0,0.8765432098765432,0.9259259259259259,0.7388888888888889,0.05957924221616838,510,510,2260,,,0,,70.35139160003746
reg3,reg3_m60_s2,60,6,es_1_2,3,81.0,0.8888888888888888,0.9382716049382716,0.7814814814814814,0.07676079480119036,760,760,1760,,,0,,65.87154399999417
reg3,reg3_m60_s2,60,6,es_1_2,4,81.0,0.8518518518518519,0.9259259259259259,0.7382716049382716,0.07444305680594317,260,760,4760,,,0,,78.61689580004895
reg3,reg3_m60_s2,60,6,es_single,0,81.0,0.8271604938271605,0.8888888888888888,0.7345679012345679,0.11358874458265869,510,510,,,,0,,72.20287589996587
reg3,reg3_m60_s2,60,6,es_single,1,81.0,0.8395061728395061,0.9382716049382716,0.7746913580246914,0.10912180231209058,510,510,,,,0,,77.63677650003228
reg3,reg3_m60_s2,60,6,es_single,2,81.0,0.9259259259259259,0.9629629629629629,0.8462962962962962,0.11527151600845326,260,510,1010,1260,,0,,81.01724690000992
reg3,reg3_m60_s2,60,6,es_single,3,81.0,0.8148148148148148,0.8641975308641975,0.6938271604938272,0.04830501591032786,260,260,,,,0,,79.68836030003149
reg3,reg3_m60_s2,60,6,es_single,4,81.0,0.9012345679012346,0.9753086419753086,0.8265432098765433,0.10879567068053499,510,1010,2010,4510,,0,,84.01062499999534
reg3,reg3_m60_s2,60,6,es_learned,0,81.0,0.8888888888888888,0.9135802469135802,0.8617283950617284,0.14081291951494002,260,260,1510,,,0,,683.1409498000285
reg3,reg3_m60_s2,60,6,es_learned,1,81.0,0.8765432098765432,0.9135802469135802,0.7820987654320988,0.10106593544504677,510,1260,6010,,,0,,680.1826321000117
reg3,reg3_m60_s2,60,6,es_learned,2,81.0,0.9259259259259259,0.9753086419753086,0.85,0.08168595997863573,260,510,760,1510,,0,,674.585724900011
reg3,reg3_m60_s2,60,6,es_learned,3,81.0,0.8641975308641975,0.9012345679012346,0.7043209876543209,0.05290893430563191,260,510,1510,,,0,,682.605223599996
reg3,reg3_m60_s2,60,6,es_learned,4,81.0,0.8888888888888888,0.9135802469135802,0.7956790123456791,0.1595578940521334,510,760,3510,,,0,,4844.262195299962
reg3,reg3_m60_s2,60,6,es_transfer_dc,0,81.0,0.8271604938271605,0.9135802469135802,0.6814814814814815,0.045910049660954154,510,760,,,reg3_m60_s0,184320,0.017419038340449333,655.016543500009
reg3,reg3_m60_s2,60,6,es_transfer_dc,1,81.0,0.8888888888888888,0.9259259259259259,0.8216049382716049,0.1040573017322759,510,760,2010,,reg3_m60_s0,184320,0.011664878576993942,651.4393780999817
reg3,reg3_m60_s2,60,6,es_transfer_dc,2,81.0,0.9135802469135802,0.9753086419753086,0.7530864197530864,0.07422600498467735,260,260,760,2760,reg3_m60_s0,184320,0.01814676634967327,645.4167912999983
reg3,reg3_m60_s2,60,6,es_transfer_dc,3,81.0,0.8765432098765432,0.9135802469135802,0.7000000000000001,0.04421621287431898,510,510,1260,,reg3_m60_s0,184320,0.01475868932902813,671.1209942999994
reg3,reg3_m60_s2,60,6,es_transfer_dc,4,81.0,0.8641975308641975,0.9135802469135802,0.7790123456790123,0.11169211031469857,510,760,2760,,reg3_m60_s0,184320,0.015799066051840782,646.0272266999818
reg3,reg3_m60_s3,60,6,es_1_2,0,82.0,0.8170731707317073,0.9024390243902439,0.6676829268292683,0.04197875717654838,1010,2010,,,,0,,81.26743110001553
