family,instance,arm,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,reg3_m60_s2,es_1_2,0,0,10,0.7158950611124272,43.0,46.8,0.03422181726598081,1.0842021724855044e-18,20,32,,0.03377820004243404,0.5308641975308642,0.5777777777777777
reg3,reg3_m60_s2,es_1_2,0,5,260,1.1417914084422685,66.0,60.2,0.027887568910692207,0.0,20,30,,1.0233926000073552,0.8148148148148148,0.7432098765432099
reg3,reg3_m60_s2,es_1_2,0,10,510,1.1417914084422685,66.0,62.1,0.027887568910692207,0.0,20,30,,2.007338900002651,0.8148148148148148,0.7666666666666667
reg3,reg3_m60_s2,es_1_2,0,15,760,1.1549071313579982,66.0,65.4,0.03689549447621876,0.0,20,29,,2.8019110000459477,0.8148148148148148,0.8074074074074075
reg3,reg3_m60_s2,es_1_2,0,20,1010,1.1549071313579982,66.0,66.0,0.036895494476218815,1.3877787807814457e-17,20,30,,3.784527900046669,0.8148148148148148,0.8148148148148148
reg3,reg3_m60_s2,es_1_2,0,25,1260,1.1549071313579982,66.0,66.0,0.036895494476218815,1.3877787807814457e-17,20,30,,4.675199400051497,0.8148148148148148,0.8148148148148148
reg3,reg3_m60_s2,es_1_2,0,30,1510,1.1674411720664084,66.0,66.0,0.0543274595993086,1.6653345369377348e-16,20,30,,5.565416200028267,0.8148148148148148,0.8148148148148148
reg3,reg3_m60_s2,es_1_2,0,35,1760,1.1760979696823077,67.0,66.3,0.04568983903802404,9.71445146547012e-17,20,30,,6.537084300012793,0.8271604938271605,0.8185185185185185
reg3,reg3_m60_s2,es_1_2,0,40,2010,1.1958253690028025,67.0,66.7,0.07124381687962172,0.00121174408233541,20,31,,7.478019900037907,0.8271604938271605,0.8234567901234568
reg3,reg3_m60_s2,es_1_2,0,45,2260,1.1958253690028025,67.0,66.8,0.07124381687962172,0.00121174408233541,20,31,,8.401913500041701,0.8271604938271605,0.8246913580246913
reg3,reg3_m60_s2,es_1_2,0,50,2510,1.1958253690028027,67.0,66.5,0.07124381687962181,0.0012117440823353892,20,30,,9.380024300015066,0.8271604938271605,0.8209876543209876
reg3,reg3_m60_s2,es_1_2,0,55,2760,1.2128767556301874,68.0,67.1,0.07458660800367281,0.0003298178643070353,20,30,,10.244403100048658,0.8395061728395061,0.8283950617283949
reg3,reg3_m60_s2,es_1_2,0,60,3010,1.2128767556301874,68.0,67.1,0.07458660800367281,0.0003298178643070353,20,30,,11.135287300043274,0.8395061728395061,0.8283950617283949
reg3,reg3_m60_s2,es_1_2,0,65,3260,1.2128767556301874,68.0,67.5,0.07458660800367281,0.0003298178643070353,20,30,,12.01846850005677,0.8395061728395061,0.8333333333333334
reg3,reg3_m60_s2,es_1_2,0,70,3510,1.2225696652830853,68.0,68.0,0.08010267423463743,0.00014016295618752422,20,32,,12.995284500007983,0.8395061728395061,0.8395061728395061
reg3,reg3_m60_s2,es_1_2,0,75,3760,1.2225696652830853,68.0,68.0,0.08010267423463749,0.00014016295618761443,20,32,,14.062082300020847,0.8395061728395061,0.8395061728395061
reg3,reg3_m60_s2,es_1_2,0,80,4010,1.2225696652830853,68.0,68.0,0.08010267423463743,0.00014016295618752422,20,32,,15.08847010001773,0.8395061728395061,0.8395061728395061
reg3,reg3_m60_s2,es_1_2,0,85,4260,1.224410039462031,68.0,68.0,0.08160487254930293,0.0025147728633466634,20,31,,16.028811300056987,0.8395061728395061,0.8395061728395061
reg3,reg3_m60_s2,es_1_2,0,90,4510,1.224410039462031,68.0,68.0,0.08160487254930293,0.0025147728633466634,20,31,,16.908636200008914,0.8395061728395061,0.8395061728395061
reg3,reg3_m60_s2,es_1_2,0,95,4760,1.2255064095175905,68.0,68.0,0.07478478294871888,0.00028033771284952796,20,33,,17.92570560000604,0.8395061728395061,0.8395061728395061
reg3,reg3_m60_s2,es_1_2,0,100,5010,1.259062581548914,69.0,68.1,0.09024277522345145,0.002514772863346719,20,31,,18.936522000003606,0.8518518518518519,0.8407407407407407
reg3,reg3_m60_s2,es_1_2,0,105,5260,1.259062581548914,69.0,68.3,0.09024277522345145,0.002514772863346719,20,31,,20.069479600002524,0.8518518518518519,0.8432098765432099
reg3,reg3_m60_s2,es_1_2,0,110,5510,1.259062581548914,69.0,68.3,0.09024277522345145,0.002514772863346719,20,31,,21.110738200019114,0.8518518518518519,0.8432098765432099
reg3,reg3_m60_s2,es_1_2,0,115,5760,1.2645451553935678,69.0,68.9,0.11140592200979751,0.0035217522813672693,20,31,,22.16222610004479,0.8518518518518519,0.8506172839506173
reg3,reg3_m60_s2,es_1_2,0,120,6010,1.2645451553935678,69.0,69.0,0.11140592200979758,0.0035217522813672797,20,31,,23.059532100043725,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,125,6260,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,23.918314300011843,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,130,6510,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,25.051703900040593,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,135,6760,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,25.968784000026062,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,140,7010,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,26.786986500024796,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,145,7260,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,27.703880700049922,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,150,7510,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,28.655371300003026,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,155,7760,1.2691284213819107,69.0,69.0,0.10781690310785116,0.0019312644352057207,20,31,,29.581043800048064,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,160,8010,1.2820950098870365,70.0,69.1,0.10455016649941257,0.0023367630332386466,20,31,,30.46944810001878,0.8641975308641975,0.8530864197530863
reg3,reg3_m60_s2,es_1_2,0,165,8260,1.2820950098870365,70.0,69.1,0.10455016649941257,0.0023367630332386466,20,31,,31.482429200026672,0.8641975308641975,0.8530864197530863
reg3,reg3_m60_s2,es_1_2,0,170,8510,1.2820950098870365,70.0,69.2,0.10455016649941257,0.0023367630332386466,20,31,,32.367160900030285,0.8641975308641975,0.8543209876543211
reg3,reg3_m60_s2,es_1_2,0,175,8760,1.2841561180268493,69.0,69.4,0.11131247050610175,0.004214541263782734,20,31,,33.29474250000203,0.8518518518518519,0.8567901234567902
reg3,reg3_m60_s2,es_1_2,0,180,9010,1.2841561180268493,69.0,69.7,0.11131247050610195,0.00421454126378263,20,31,,34.20185670000501,0.8518518518518519,0.8604938271604938
reg3,reg3_m60_s2,es_1_2,0,185,9260,1.2841561180268493,69.0,69.3,0.11131247050610175,0.004214541263782734,20,31,,35.000641800055746,0.8518518518518519,0.8555555555555555
reg3,reg3_m60_s2,es_1_2,0,190,9510,1.2894750629076488,69.0,69.0,0.11292946528096948,0.002310446002848264,20,31,,35.89277850004146,0.8518518518518519,0.8518518518518519
reg3,reg3_m60_s2,es_1_2,0,195,9760,1.301728396196132,70.0,69.1,0.0989231653814823,0.0019549766300009028,20,30,,36.73670300003141,0.8641975308641975,0.8530864197530863
reg3,reg3_m60_s2,es_1_2,0,200,10010,1.301728396196132,70.0,69.1,0.0989231653814823,0.0019549766300009028,20,30,,37.57647840003483,0.8641975308641975,0.8530864197530863
reg3,reg3_m60_s2,es_1_2,0,205,10260,1.301728396196132,70.0,69.1,0.0989231653814823,0.0019549766300009028,20,30,,38.441838500031736,0.8641975308641975,0.8530864197530863
reg3,reg3_m60_s2,es_1_2,0,210,10510,1.301728396196132,70.0,70.0,0.0989231653814823,0.001954976630000896,20,31,,39.41509260004386,0.8641975308641975,0.8641975308641975
reg3,reg3_m60_s2,es_1_2,0,215,10760,1.301728396196132,70.0,70.0,0.09892316538148224,0.001954976630000979,20,31,,40.18052750005154,0.8641975308641975,0.8641975308641975
reg3,reg3_m60_s2,es_1_2,0,220,11010,1.325385452572208,72.0,70.8,0.11239195772249505,0.0024106633695737453,20,31,,41.064648400002625,0.8888888888888888,0.874074074074074
reg3,reg3_m60_s2,es_1_2,0,225,11260,1.325385452572208,72.0,72.0,0.11239195772249508,0.0024106633695736863,20,32,,42.005781000014395,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,230,11510,1.3337970132032266,72.0,72.0,0.10822863477012343,0.0020812756613039704,20,32,,42.77724600001238,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,235,11760,1.3357531419102162,72.0,72.0,0.110107508387869,0.002410663369573806,20,32,,43.618431900045834,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,240,12010,1.3357531419102162,72.0,72.0,0.110107508387869,0.002410663369573806,20,32,,44.43338100000983,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,245,12260,1.3357531419102162,72.0,72.0,0.11010750838786906,0.002410663369573702,20,31,,45.26799630001187,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,250,12510,1.3357531419102162,72.0,72.0,0.110107508387869,0.002410663369573806,20,32,,46.20234330004314,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,255,12760,1.3357531419102162,72.0,72.0,0.11010750838786912,0.002410663369573683,20,30,,47.09138560004067,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,260,13010,1.3357531419102162,72.0,72.0,0.11010750838786909,0.002410663369573792,20,32,,47.95051230001263,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,265,13260,1.3357531419102162,72.0,72.0,0.11010750838786901,0.002410663369573798,20,31,,48.75746620004065,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,270,13510,1.3357531419102162,72.0,72.0,0.110107508387869,0.002410663369573676,20,31,,49.54833050002344,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,275,13760,1.3357531419102162,72.0,72.0,0.110107508387869,0.002410663369573676,20,31,,50.4209938000422,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,280,14010,1.3357531419102162,72.0,72.0,0.11010750838786908,0.002410663369573793,20,31,,51.21162150002783,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,285,14260,1.3370502633217212,72.0,72.0,0.09917100895991068,0.005457171736086626,20,31,,51.96658300003037,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,290,14510,1.3370502633217212,72.0,72.0,0.09917100895991068,0.005457171736086626,20,31,,52.83329740003683,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,295,14760,1.3370502633217212,72.0,72.0,0.09917100895991068,0.005457171736086626,20,31,,53.644033800053876,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,300,15010,1.3370502633217212,72.0,72.0,0.09917100895991077,0.005457171736086633,20,31,,54.502204500022344,0.8888888888888888,0.8888888888888888
reg3,reg3_m60_s2,es_1_2,0,305,15260,1.3370502633217212,72.0,72.0,0.09917100895991068,0.005457171736086626,20,31,,55.31015960004879,0.8888888888888888,0.8888888888888888
