arm,pairs,d_raw_mean,d_raw_sd,t,p_ttest,p_wilcoxon,wins,ties,speedup_to_0.85,p_e85
es_learned,30,0.004717283301996149,0.03596882140363444,0.7183339275010748,0.4782992931543406,0.418808361535453,15,2,1.2378022980171586,0.16516899278447067
es_single,30,-0.0008800838018521828,0.041901387798203245,-0.1150419535245125,0.9092047387179233,0.9913722460412425,14,1,1.086367611775137,0.6118214947792914
es_transfer_dc,30,-0.0011396806739151556,0.0395178290373842,-0.15796131231437197,0.8755820728248399,0.8569594285548041,14,3,1.1855144104548268,0.42267759261023496
