arm,pairs,d_raw_mean,d_raw_sd,t,p_ttest,p_wilcoxon,wins,ties,speedup_to_0.85,p_e85
es_learned,10,-0.009668302840993593,0.03526602882506058,-0.8669492739735487,0.40848850224761535,0.431640625,4,0,1.001194334252214,0.9964679823270528
es_single,10,-0.0059348505131637695,0.03770040382523206,-0.49781019007695226,0.6305540493721995,0.65234375,3,1,1.1665005864705897,0.4783825736049486
es_transfer_dc,10,-0.013342257920571133,0.03596256432406221,-1.1732178989860433,0.27082215070031457,0.359375,4,0,0.8431894417070949,0.6929518489373286
