arm,pairs,d_raw_mean,d_raw_sd,t,p_ttest,p_wilcoxon,wins,ties,speedup_to_0.85,p_e85
es_learned,10,0.014769647696476962,0.028873256792654275,1.6176120101217328,0.14020055349419153,0.234375,5,2,1.759029667065024,0.10241648689145844
es_single,10,-0.00978620897320085,0.04668531460781425,-0.662878900435052,0.524020025703281,0.5390625,5,0,0.8046721155637234,0.5904772489624106
es_transfer_dc,10,0.00492321589882565,0.039805384390309693,0.3911173297658742,0.704808443893711,0.703125,5,1,1.6675210269000276,0.2618202860685232
