family,instance,arm,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,scorer_loss,seconds,ratio_best,ratio_pop_mean
reg3,reg3_m60_s0,es_1_2,0,0,10,0.8309630285234236,49.0,45.8,0.0342218172659808,1.0842021724855044e-18,20,32,,0.0313657000078819,0.5903614457831325,0.5518072289156626
reg3,reg3_m60_s0,es_1_2,0,5,260,1.0726312396664537,60.0,58.9,0.0695242405627506,0.0005968111915276,20,38,,0.9777863000053912,0.7228915662650602,0.7096385542168675
reg3,reg3_m60_s0,es_1_2,0,10,510,1.1327204060333491,63.0,62.9,0.0616510034923367,0.0013125448532299,20,38,,1.9796397000318395,0.7590361445783133,0.7578313253012048
reg3,reg3_m60_s0,es_1_2,0,15,760,1.1353459234829315,65.0,64.5,0.0443256844965716,0.0018461642435758,20,37,,3.034382599988021,0.7831325301204819,0.7771084337349398
reg3,reg3_m60_s0,es_1_2,0,20,1010,1.1796901382377605,67.0,65.2,0.0375644509436347,0.0013139571655955,20,37,,4.043909300002269,0.8072289156626506,0.7855421686746988
reg3,reg3_m60_s0,es_1_2,0,25,1260,1.1796901382377605,67.0,66.1,0.0375644509436347,0.0013139571655955,20,37,,5.013741300033871,0.8072289156626506,0.7963855421686746
reg3,reg3_m60_s0,es_1_2,0,30,1510,1.1796901382377605,67.0,66.6,0.0375644509436347,0.0013139571655955,20,37,,6.014468700042926,0.8072289156626506,0.8024096385542168
reg3,reg3_m60_s0,es_1_2,0,35,1760,1.207240520296466,68.0,67.7,0.0486765117636732,2.193562972295157e-05,20,37,,7.049422600015532,0.8192771084337349,0.8156626506024097
reg3,reg3_m60_s0,es_1_2,0,40,2010,1.2072405202964662,68.0,68.0,0.0486765117636732,2.193562972313545e-05,20,37,,8.05821540002944,0.8192771084337349,0.8192771084337349
reg3,reg3_m60_s0,es_1_2,0,45,2260,1.209111510203775,68.0,68.0,0.0478758953306332,2.193562972295851e-05,20,36,,9.015609599999152,0.8192771084337349,0.8192771084337349
reg3,reg3_m60_s0,es_1_2,0,50,2510,1.223849643961208,69.0,68.2,0.0519730730199862,2.1935629723000144e-05,20,37,,9.903430000005756,0.8313253012048193,0.8216867469879519
reg3,reg3_m60_s0,es_1_2,0,55,2760,1.223849643961208,69.0,68.5,0.0519730730199862,2.1935629723000144e-05,20,37,,10.8948658000445,0.8313253012048193,0.8253012048192772
reg3,reg3_m60_s0,es_1_2,0,60,3010,1.2260595889244117,69.0,69.0,0.0548187184694207,0.0001946361710342,20,36,,11.860020200023428,0.8313253012048193,0.8313253012048193
reg3,reg3_m60_s0,es_1_2,0,65,3260,1.2260595889244117,69.0,69.0,0.0548187184694207,0.0001946361710342,20,36,,12.670543100044595,0.8313253012048193,0.8313253012048193
reg3,reg3_m60_s0,es_1_2,0,70,3510,1.2267257021554896,69.0,69.0,0.0494416910744625,0.0016887061560587,20,37,,13.81569350004429,0.8313253012048193,0.8313253012048193
reg3,reg3_m60_s0,es_1_2,0,75,3760,1.2444120374245584,70.0,69.2,0.0537750977968687,0.0001946361710341,20,37,,14.888253300043289,0.8433734939759037,0.8337349397590362
reg3,reg3_m60_s0,es_1_2,0,80,4010,1.2444120374245584,70.0,69.8,0.0537750977968688,0.0001946361710341,20,37,,16.017522200010717,0.8433734939759037,0.8409638554216867
reg3,reg3_m60_s0,es_1_2,0,85,4260,1.2502067279524722,70.0,70.0,0.0517732190735869,0.000980228761812,20,37,,17.070074399991427,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,90,4510,1.2511329770096746,70.0,70.0,0.0539829730923349,0.0009325716304768,20,37,,18.157764600007795,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,95,4760,1.2513468825512706,70.0,70.0,0.0549815696444669,0.0001012225570608,20,38,,19.278195400023836,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,100,5010,1.2513468825512706,70.0,70.0,0.0549815696444669,0.0001012225570608,20,38,,20.40699930000119,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,105,5260,1.2513468825512706,70.0,70.0,0.0549815696444669,0.0001012225570608,20,38,,21.549474200000983,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,110,5510,1.2535480448776444,70.0,70.0,0.0664363024894185,0.0005789101407181,20,38,,22.46602430002531,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,115,5760,1.2535480448776444,70.0,70.0,0.0664363024894185,0.0005789101407181,20,38,,23.473823800042737,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,120,6010,1.2535480448776444,70.0,70.0,0.0664363024894185,0.0005789101407181,20,38,,24.444911500031598,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,125,6260,1.2535480448776444,70.0,70.0,0.0664363024894186,0.0005789101407182,20,38,,25.34636230004253,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,130,6510,1.2535480448776444,70.0,70.0,0.0664363024894186,0.0005789101407182,20,38,,26.43721430003643,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,135,6760,1.2535480448776444,70.0,70.0,0.0664363024894186,0.0005789101407182,20,38,,27.38026980002178,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,140,7010,1.2557287673407214,70.0,70.0,0.059789770909149,0.0008906406472847,20,38,,28.38755700003821,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,145,7260,1.2557287673407214,70.0,70.0,0.059789770909149,0.0008906406472847,20,38,,29.285144600027703,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,150,7510,1.2557287673407214,70.0,70.0,0.059789770909149,0.0008906406472847,20,38,,30.23898960003862,0.8433734939759037,0.8433734939759037
reg3,reg3_m60_s0,es_1_2,0,155,7760,1.263135732459675,71.0,70.1,0.0522538870340999,0.0038101084282742,20,38,,31.18586760002654,0.8554216867469879,0.844578313253012
reg3,reg3_m60_s0,es_1_2,0,160,8010,1.263135732459675,71.0,70.4,0.0522538870340999,0.0038101084282742,20,38,,32.13669600000139,0.8554216867469879,0.8481927710843374
reg3,reg3_m60_s0,es_1_2,0,165,8260,1.2802807524468631,72.0,71.0,0.0531967800802253,0.0007851639017873,20,37,,33.04998640000122,0.8674698795180723,0.8554216867469879
reg3,reg3_m60_s0,es_1_2,0,170,8510,1.2802807524468631,72.0,71.1,0.0531967800802253,0.0007851639017873,20,37,,33.91036149999127,0.8674698795180723,0.8566265060240963
reg3,reg3_m60_s0,es_1_2,0,175,8760,1.2802807524468631,72.0,71.2,0.0531967800802253,0.0007851639017873,20,37,,34.847884199989494,0.8674698795180723,0.8578313253012049
reg3,reg3_m60_s0,es_1_2,0,180,9010,1.2802807524468631,72.0,71.3,0.0531967800802253,0.0007851639017873,20,37,,35.70778250001604,0.8674698795180723,0.8590361445783132
reg3,reg3_m60_s0,es_1_2,0,185,9260,1.2803195938014793,72.0,71.5,0.0504577961507005,0.0009683113950126,20,37,,36.68373410002096,0.8674698795180723,0.8614457831325302
reg3,reg3_m60_s0,es_1_2,0,190,9510,1.2803195938014793,72.0,72.0,0.0504577961507005,0.0009683113950126,20,37,,37.61670330003835,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,195,9760,1.2803195938014793,72.0,72.0,0.0504577961507005,0.0009683113950126,20,37,,38.48788200004492,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,200,10010,1.2803195938014793,72.0,72.0,0.0504577961507005,0.0009683113950126,20,37,,39.38902880001115,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,205,10260,1.2806110567179825,72.0,72.0,0.0500558217009051,0.0005863398137562,20,37,,40.2857759000035,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,210,10510,1.2806110567179825,72.0,72.0,0.0500558217009051,0.0005863398137562,20,37,,41.18244430003688,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,215,10760,1.2806110567179825,72.0,72.0,0.0500558217009051,0.0005863398137562,20,37,,42.03915440000128,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,220,11010,1.2806110567179825,72.0,72.0,0.050055821700905,0.0005863398137562,20,37,,42.892858600011095,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,225,11260,1.2806110567179825,72.0,72.0,0.050055821700905,0.0005863398137562,20,37,,43.783079500019085,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,230,11510,1.2806110567179825,72.0,72.0,0.050055821700905,0.0005863398137562,20,37,,44.68553700001212,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,235,11760,1.2806110567179825,72.0,72.0,0.050055821700905,0.0005863398137562,20,37,,45.4385256000096,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,240,12010,1.2806110567179825,72.0,72.0,0.050055821700905,0.0005863398137562,20,37,,46.31326299998909,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,245,12260,1.2806110567179825,72.0,72.0,0.050055821700905,0.0005863398137562,20,37,,47.13473910000175,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,250,12510,1.2830044597101486,72.0,72.0,0.057327428070256,0.0012270811848911,20,37,,48.0714491000399,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,255,12760,1.2830044597101486,72.0,72.0,0.057327428070256,0.0012270811848911,20,37,,49.0530684000114,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,260,13010,1.2830044597101486,72.0,72.0,0.0573274280702561,0.0012270811848911,20,37,,49.97544060001383,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,265,13260,1.2830044597101486,72.0,72.0,0.057327428070256,0.0012270811848911,20,37,,50.97122480004328,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,270,13510,1.2830044597101486,72.0,72.0,0.0573274280702561,0.0012270811848911,20,37,,51.96534520003479,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,275,13760,1.2830044597101486,72.0,72.0,0.0573274280702561,0.0012270811848911,20,37,,52.8061656000209,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,280,14010,1.2830044597101486,72.0,72.0,0.057327428070256,0.0012270811848911,20,37,,53.62894460000098,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,285,14260,1.2830044597101486,72.0,72.0,0.057327428070256,0.0012270811848911,20,37,,54.48531170003116,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,290,14510,1.2830044597101486,72.0,72.0,0.0573274280702561,0.0012270811848911,20,37,,55.2910534000257,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,295,14760,1.2830044597101486,72.0,72.0,0.0573274280702561,0.0012270811848911,20,37,,56.24801080004545,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,300,15010,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,57.09147200000007,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,305,15260,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,58.05852560000494,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,310,15510,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,58.86897390004015,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,315,15760,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,59.76396440004464,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,320,16010,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,60.66748940001708,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,325,16260,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,61.41311299998779,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,330,16510,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,62.26367010001559,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,335,16760,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,63.23144770000363,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,340,17010,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,64.13518159999512,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,345,17260,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,65.11606510001002,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,350,17510,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670925,20,36,,66.03283310000552,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,355,17760,1.2833544709320046,72.0,72.0,0.0514573345629207,0.0008249347670924,20,37,,67.07953980000457,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,360,18010,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,68.23377739998978,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,365,18260,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670924,20,37,,69.48047479998786,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,370,18510,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670925,20,36,,70.69865000003483,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,375,18760,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670925,20,36,,72.01264349999838,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,380,19010,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670925,20,36,,73.30785159999505,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,385,19260,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670925,20,36,,74.51373160001822,0.8674698795180723,0.8674698795180723
reg3,reg3_m60_s0,es_1_2,0,390,19510,1.2833544709320046,72.0,72.0,0.0514573345629209,0.0008249347670925,20,36,,75.74305530003039,0.8674698795180723,0.8674698795180723
