arm,n,raw_mean,raw_sd,raw_median,shots,reach85,reach90,e85_median,secs
es_1_2,10,0.9085555555555554,0.03433343255693338,0.8994949494949496,0.8207025252525252,1.0,0.5,1010.0,72.26199391998816
es_learned,10,0.9176060606060605,0.01877430027164366,0.9191919191919192,0.8144151515151515,1.0,0.8,1010.0,1069.45248594
es_single,10,0.9216363636363637,0.01802273590213578,0.9292929292929292,0.8148151515151515,1.0,0.8,885.0,77.05660589999752
es_transfer_dc,10,0.9135555555555556,0.02033685642235015,0.9195959595959596,0.8422212121212121,1.0,0.8,1010.0,648.9950449399882
