arm,pairs,d_raw_mean,d_raw_sd,t,p_ttest,p_wilcoxon,wins,ties,speedup_to_0.85,p_e85
es_learned,10,0.009050505050505076,0.041573212885360304,0.6884291097100095,0.5085372615406519,0.447265625,6,0,1.0768675902415652,0.6832385743667775
es_single,10,0.013080808080808071,0.041514052377442205,0.9964131372866469,0.3450830657052746,0.3125,6,0,1.3659239334682773,0.15605921099347514
es_transfer_dc,10,0.005000000000000016,0.043658473479581864,0.36216081417131074,0.7255898064626087,0.4140625,5,2,1.1850155069443336,0.4181968636071939
