arm,n,raw_mean,raw_sd,raw_median,shots,reach85,reach90,e85_median,secs
es_1_2,10,0.8794139521047152,0.016396120903249822,0.8842034805890227,0.753166741038227,0.9,0.1,2885.0,73.34680446999846
es_learned,10,0.8697456492637216,0.037188295484036626,0.8703703703703703,0.7685586791610888,0.7,0.2,3135.0,1070.6908245199943
es_single,10,0.8734791015915514,0.04389981569458907,0.8703703703703703,0.750571917298825,0.7,0.4,2135.0,79.80420372001245
es_transfer_dc,10,0.866071694184144,0.03491457282301909,0.8658337051911349,0.7480715454410234,0.7,0.2,3760.0,641.5015218199987
