arm,n,raw_mean,raw_sd,raw_median,shots,reach85,reach90,e85_median,secs
es_1_2,30,0.8859627356157542,0.031484619875501475,0.8888888888888888,0.7796336277578628,0.9,0.23333333333333334,2260.0,72.59832053666663
es_learned,30,0.8906800189177504,0.03297179741050205,0.8894444444444445,0.7873505562256142,0.9,0.4,1635.0,1070.5063125199988
es_single,30,0.885082651813902,0.04241291170101314,0.8901219512195122,0.7784119196558482,0.7666666666666667,0.4666666666666667,1635.0,78.42876437667486
es_transfer_dc,30,0.884823054941839,0.03396536605033575,0.8895663956639566,0.7799696123521213,0.8666666666666667,0.4,1885.0,646.5110418699953
