arm,n,raw_mean,raw_sd,raw_median,shots,reach85,reach90,e85_median,secs
es_1_2,10,0.8699186991869918,0.029080862729366944,0.882716049382716,0.7650316169828365,0.8,0.1,4010.0,72.18616322001326
es_learned,10,0.8846883468834689,0.020860524625421793,0.8780487804878049,0.7790778380006023,1.0,0.2,2760.0,1071.375627100002
es_single,10,0.8601324902137911,0.03490529082259371,0.8536585365853658,0.7698486901535682,0.6,0.2,4510.0,78.4254835100146
es_transfer_dc,10,0.8748419150858175,0.02580755223222677,0.877295995182174,0.7496160794941283,0.9,0.2,2260.0,649.036558849999
