family,m,instance,method,run,generation,evaluations,best_score,best_cut,pop_mean_cut,median_abs_corr,min_abs_corr,two_qubit,non_clifford,seconds,ratio_best,ratio_pop_mean
reg3,60,reg3_m60_s0,es,0,0,10,0.8309630285234236,49.0,45.8,0.03422181726598081,1.0842021724855044e-18,20,32,0.03379210000275634,0.5903614457831325,0.5518072289156626
reg3,60,reg3_m60_s0,es,0,5,260,1.0726312396664537,60.0,58.9,0.0695242405627506,0.0005968111915276696,20,38,1.0580271999933757,0.7228915662650602,0.7096385542168675
reg3,60,reg3_m60_s0,es,0,10,510,1.1327204060333493,63.0,62.9,0.06165100349233671,0.0013125448532299074,20,38,1.993249499995727,0.7590361445783133,0.7578313253012048
reg3,60,reg3_m60_s0,es,0,15,760,1.1353459234829315,65.0,64.5,0.0443256844965716,0.0018461642435758999,20,37,2.95527909998782,0.7831325301204819,0.7771084337349398
reg3,60,reg3_m60_s0,es,0,20,1010,1.1796901382377605,67.0,65.2,0.037564450943634725,0.0013139571655955591,20,37,3.89215110000805,0.8072289156626506,0.7855421686746988
reg3,60,reg3_m60_s0,es,0,25,1260,1.1796901382377605,67.0,66.1,0.037564450943634725,0.0013139571655955591,20,37,4.894606099987868,0.8072289156626506,0.7963855421686746
reg3,60,reg3_m60_s0,es,0,30,1510,1.1796901382377605,67.0,66.6,0.037564450943634725,0.0013139571655955591,20,37,5.85857599999872,0.8072289156626506,0.8024096385542168
reg3,60,reg3_m60_s0,es,0,35,1760,1.207240520296466,68.0,67.7,0.04867651176367328,2.1935629722951572e-05,20,37,7.060282899998128,0.8192771084337349,0.8156626506024097
reg3,60,reg3_m60_s0,es,0,40,2010,1.2072405202964662,68.0,68.0,0.04867651176367326,2.1935629723135452e-05,20,37,8.194032800005516,0.8192771084337349,0.8192771084337349
reg3,60,reg3_m60_s0,es,0,45,2260,1.209111510203775,68.0,68.0,0.04787589533063326,2.193562972295851e-05,20,36,9.17020799999591,0.8192771084337349,0.8192771084337349
reg3,60,reg3_m60_s0,es,0,50,2510,1.223849643961208,69.0,68.2,0.051973073019986216,2.1935629723000144e-05,20,37,10.168825900007505,0.8313253012048193,0.8216867469879519
reg3,60,reg3_m60_s0,es,0,55,2760,1.223849643961208,69.0,68.5,0.051973073019986216,2.1935629723000144e-05,20,37,11.149814000003971,0.8313253012048193,0.8253012048192772
reg3,60,reg3_m60_s0,es,0,60,3010,1.2260595889244117,69.0,69.0,0.054818718469420796,0.00019463617103424036,20,36,12.189059099997394,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,65,3260,1.2260595889244117,69.0,69.0,0.054818718469420796,0.00019463617103424036,20,36,13.131312499986961,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,70,3510,1.2267257021554896,69.0,69.0,0.04944169107446255,0.0016887061560587075,20,37,14.086235800001305,0.8313253012048193,0.8313253012048193
reg3,60,reg3_m60_s0,es,0,75,3760,1.2444120374245584,70.0,69.2,0.05377509779686875,0.00019463617103419179,20,37,15.029221400007373,0.8433734939759037,0.8337349397590362
reg3,60,reg3_m60_s0,es,0,80,4010,1.2444120374245584,70.0,69.8,0.05377509779686884,0.0001946361710341571,20,37,16.020464900007937,0.8433734939759037,0.8409638554216867
reg3,60,reg3_m60_s0,es,0,85,4260,1.2502067279524722,70.0,70.0,0.051773219073586965,0.00098022876181208,20,37,16.99660969999968,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,90,4510,1.2511329770096746,70.0,70.0,0.05398297309233492,0.0009325716304768739,20,37,18.003305599995656,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,95,4760,1.2513468825512706,70.0,70.0,0.054981569644466995,0.00010122255706085728,20,38,18.924941799981752,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,100,5010,1.2513468825512706,70.0,70.0,0.054981569644466995,0.00010122255706085728,20,38,20.008879400003934,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,105,5260,1.2513468825512706,70.0,70.0,0.054981569644466995,0.00010122255706085728,20,38,20.914960699999938,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,110,5510,1.2535480448776444,70.0,70.0,0.06643630248941859,0.0005789101407181804,20,38,21.888142599986168,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,115,5760,1.2535480448776444,70.0,70.0,0.06643630248941859,0.0005789101407181804,20,38,22.962867499998538,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,120,6010,1.2535480448776444,70.0,70.0,0.06643630248941859,0.0005789101407181804,20,38,23.961565600009635,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,125,6260,1.2535480448776444,70.0,70.0,0.06643630248941862,0.0005789101407182046,20,38,24.916626899997937,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,130,6510,1.2535480448776444,70.0,70.0,0.06643630248941862,0.0005789101407182046,20,38,25.8630501999869,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,135,6760,1.2535480448776444,70.0,70.0,0.06643630248941866,0.000578910140718215,20,38,26.848088700004155,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,140,7010,1.2557287673407214,70.0,70.0,0.05978977090914903,0.0008906406472847031,20,38,27.8751498000056,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,145,7260,1.2557287673407214,70.0,70.0,0.05978977090914903,0.0008906406472847031,20,38,28.789868799998658,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,150,7510,1.2557287673407214,70.0,70.0,0.05978977090914903,0.0008906406472847031,20,38,29.76866339999833,0.8433734939759037,0.8433734939759037
reg3,60,reg3_m60_s0,es,0,155,7760,1.263135732459675,71.0,70.1,0.052253887034099944,0.0038101084282742073,20,38,30.7818059999845,0.8554216867469879,0.844578313253012
reg3,60,reg3_m60_s0,es,0,160,8010,1.263135732459675,71.0,70.4,0.052253887034099944,0.0038101084282742073,20,38,31.967956200009212,0.8554216867469879,0.8481927710843374
reg3,60,reg3_m60_s0,es,0,165,8260,1.2802807524468631,72.0,71.0,0.05319678008022537,0.0007851639017873412,20,37,33.05884379998315,0.8674698795180723,0.8554216867469879
reg3,60,reg3_m60_s0,es,0,170,8510,1.2802807524468631,72.0,71.1,0.05319678008022537,0.0007851639017873412,20,37,33.98905869998271,0.8674698795180723,0.8566265060240963
reg3,60,reg3_m60_s0,es,0,175,8760,1.2802807524468631,72.0,71.2,0.05319678008022537,0.0007851639017873412,20,37,34.976416899997275,0.8674698795180723,0.8578313253012049
reg3,60,reg3_m60_s0,es,0,180,9010,1.2802807524468631,72.0,71.3,0.05319678008022537,0.0007851639017873412,20,37,35.93152079998981,0.8674698795180723,0.8590361445783132
reg3,60,reg3_m60_s0,es,0,185,9260,1.2803195938014793,72.0,71.5,0.050457796150700514,0.0009683113950126956,20,37,36.85857409998425,0.8674698795180723,0.8614457831325302
reg3,60,reg3_m60_s0,es,0,190,9510,1.2803195938014793,72.0,72.0,0.050457796150700514,0.0009683113950126956,20,37,37.807005899987416,0.8674698795180723,0.8674698795180723
reg3,60,reg3_m60_s0,es,0,195,9760,1.2803195938014793,72.0,72.0,0.050457796150700514,0.0009683113950126956,20,37,38.764081400004216,0.8674698795180723,0.8674698795180723
reg3,60,reg3_m60_s0,es,0,200,10010,1.2803195938014793,72.0,72.0,0.050457796150700514,0.0009683113950126956,20,37,39.67353339999681,0.8674698795180723,0.8674698795180723
reg3,60,reg3_m60_s0,es,0,205,10260,1.2806110567179823,72.0,72.0,0.050055821700905154,0.0005863398137562256,20,37,40.606735899986234,0.8674698795180723,0.8674698795180723
