hamming,mean_abs_dscore,mean_cut_ratio
1,0.3180904042025002,0.6596787148594377
2,0.39868410640408813,0.6092369477911647
4,0.4893618280311705,0.5603212851405622
8,0.5176725022136848,0.5453815261044177
16,0.5197506369145086,0.5457831325301205
32,0.5295046421164221,0.5395180722891566
