family,m,n,instance,run,best_known,budget,ratio_raw,ratio_ls,ratio_1000shots,ratio_4000shots,median_abs_corr,evals_to_0.75,evals_to_0.8,evals_to_0.85,evals_to_0.9,seconds
reg3,60,6,reg3_m60_s0,0,83.0,100000,0.891566265060241,0.9397590361445783,0.7481927710843373,0.8156626506024097,0.07608600559280496,510,1010,7760,,459.2821356000204
reg3,104,7,reg3_m104_s0,0,142.0,100000,0.8309859154929577,0.9295774647887324,0.7609154929577464,0.7866197183098592,0.12254247256346569,1510,5010,,,553.9222294999927
reg3,168,8,reg3_m168_s0,0,230.0,100000,0.7869565217391304,0.8913043478260869,0.6663043478260869,0.7204347826086956,0.053224421030458005,1510,,,,665.479221400019
reg3,252,9,reg3_m252_s0,0,348.0,100000,0.7241379310344828,0.8850574712643678,0.6204022988505747,0.6347701149425288,0.03904189696894379,,,,,721.1545129000151
