family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3260,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3310,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3360,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3410,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3460,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3510,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3560,0.6413502109704642
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3610,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3660,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3710,0.6455696202531646
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3760,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3810,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3860,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3910,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,3960,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4010,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4060,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4110,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4160,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4210,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4260,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4310,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4360,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4410,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4460,0.6447257383966245
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4510,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4560,0.6464135021097046
reg3,858,13,reg3_m858_s0,1185.0,genpce_es,0,4610,0.6464135021097046
