family,m,n,instance,best_known,method,run,evaluations,ratio_raw,ratio_ls,ratio_1000shots,ratio_4000shots,median_abs_corr,two_qubit,non_clifford,depth,seconds
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,20010,0.8674698795180723,0.9397590361445785,0.7060240963855422,0.7620481927710844,0.0514573345629209,20.0,37.0,16.0,72.94601899999543
reg3,60,6,reg3_m60_s0,83.0,random,0,20000,0.7710843373493976,0.9156626506024096,0.7427710843373494,0.7572289156626506,0.1008353524645536,,,,
reg3,60,6,reg3_m60_s0,83.0,genpce_es,1,20010,0.8795180722891566,0.9156626506024096,0.8409638554216867,0.8590361445783132,0.1395638002972584,20.0,34.0,16.0,82.15733570000157
reg3,60,6,reg3_m60_s0,83.0,random,1,20000,0.7590361445783133,0.9397590361445785,0.655421686746988,0.708433734939759,0.0589920810375379,,,,
reg3,60,6,reg3_m60_s0,83.0,pce_vqa_L4,0,126549,0.8433734939759037,0.9036144578313252,0.8421686746987952,0.8433734939759037,0.2496348700834706,10.0,54.0,1161.0,
reg3,60,6,reg3_m60_s0,83.0,pce_vqa_L4,1,130146,0.8554216867469879,0.9397590361445785,0.863855421686747,0.8596385542168674,0.2058071828580912,10.0,54.0,1194.0,
reg3,60,6,reg3_m60_s0,83.0,pce_vqa_L8,0,366513,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.2255106206639197,20.0,108.0,1689.0,
reg3,60,6,reg3_m60_s0,83.0,pce_vqa_L8,1,412083,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.2345013193913431,20.0,108.0,1899.0,
reg3,60,6,reg3_m60_s1,81.0,genpce_es,0,20010,0.9012345679012346,0.9382716049382716,0.7518518518518519,0.7895061728395062,0.0591759290975088,20.0,33.0,16.0,71.78848019998986
reg3,60,6,reg3_m60_s1,81.0,random,0,20000,0.7654320987654321,0.925925925925926,0.6567901234567901,0.7185185185185186,0.0437089389784816,,,,
reg3,60,6,reg3_m60_s1,81.0,genpce_es,1,20010,0.8888888888888888,0.925925925925926,0.8234567901234568,0.8728395061728396,0.0864440315296075,20.0,35.0,16.0,69.58799030000228
reg3,60,6,reg3_m60_s1,81.0,random,1,20000,0.7654320987654321,0.9382716049382716,0.6839506172839506,0.7246913580246914,0.0540845705459029,,,,
reg3,60,6,reg3_m60_s1,81.0,pce_vqa_L4,0,123061,0.8395061728395061,0.9382716049382716,0.8469135802469135,0.8481481481481482,0.1782805014293424,10.0,54.0,1129.0,
reg3,60,6,reg3_m60_s1,81.0,pce_vqa_L4,1,165026,0.8765432098765432,0.925925925925926,0.874074074074074,0.8685185185185185,0.1819394973034778,10.0,54.0,1514.0,
reg3,60,6,reg3_m60_s1,81.0,pce_vqa_L8,0,434000,0.9382716049382716,0.9382716049382716,0.9382716049382716,0.9382716049382716,0.2311791298337115,20.0,108.0,2000.0,
reg3,60,6,reg3_m60_s1,81.0,pce_vqa_L8,1,414904,0.925925925925926,0.925925925925926,0.925925925925926,0.925925925925926,0.2341866876969976,20.0,108.0,1912.0,
reg3,252,9,reg3_m252_s0,348.0,genpce_es,0,20010,0.7241379310344828,0.8850574712643678,0.618103448275862,0.6422413793103449,0.0338547707471321,32.0,49.0,16.0,132.26167469998472
reg3,252,9,reg3_m252_s0,348.0,random,0,20000,0.6408045977011494,0.8908045977011494,0.598132183908046,0.593103448275862,0.0455344313157931,,,,
reg3,252,9,reg3_m252_s0,348.0,genpce_es,1,20010,0.7270114942528736,0.882183908045977,0.6310344827586206,0.6656609195402299,0.0448213471208778,32.0,55.0,16.0,131.0975238000101
reg3,252,9,reg3_m252_s0,348.0,random,1,20000,0.6494252873563219,0.882183908045977,0.5494252873563218,0.5692528735632184,0.0193177496251969,,,,
reg3,252,9,reg3_m252_s0,348.0,pce_vqa_L4,0,338000,0.7787356321839081,0.913793103448276,0.780603448275862,0.7875,0.1251864311559094,16.0,84.0,2000.0,
reg3,252,9,reg3_m252_s0,348.0,pce_vqa_L4,1,295919,0.764367816091954,0.9080459770114944,0.757183908045977,0.7639367816091954,0.1655245993719869,16.0,84.0,1751.0,
reg3,252,9,reg3_m252_s0,348.0,pce_vqa_L8,0,585032,0.8160919540229885,0.9166666666666666,0.8048850574712645,0.8114942528735631,0.1353627236043925,32.0,168.0,1736.0,
reg3,252,9,reg3_m252_s0,348.0,pce_vqa_L8,1,666249,0.8304597701149425,0.9080459770114944,0.8224137931034482,0.8307471264367817,0.1423228877657102,32.0,168.0,1977.0,
reg3,252,9,reg3_m252_s1,346.0,genpce_es,0,20010,0.7167630057803468,0.884393063583815,0.5778901734104046,0.6091040462427746,0.0195342794276718,32.0,54.0,16.0,166.56276200001594
reg3,252,9,reg3_m252_s1,346.0,random,0,20000,0.6878612716763006,0.9104046242774566,0.5888728323699421,0.6150289017341041,0.0238490697183585,,,,
reg3,252,9,reg3_m252_s1,346.0,genpce_es,1,20010,0.7427745664739884,0.9248554913294798,0.6264450867052023,0.6346820809248555,0.0346832710889947,32.0,51.0,16.0,161.4652667999908
reg3,252,9,reg3_m252_s1,346.0,random,1,20000,0.6763005780346821,0.861271676300578,0.5959537572254335,0.6154624277456647,0.0219145743575762,,,,
reg3,252,9,reg3_m252_s1,346.0,pce_vqa_L4,0,244036,0.7514450867052023,0.8786127167630058,0.7453757225433525,0.7492774566473989,0.1404826204870355,16.0,84.0,1444.0,
reg3,252,9,reg3_m252_s1,346.0,pce_vqa_L4,1,317889,0.7687861271676301,0.907514450867052,0.7618497109826591,0.7700867052023121,0.1150738527894303,16.0,84.0,1881.0,
reg3,252,9,reg3_m252_s1,346.0,pce_vqa_L8,0,674000,0.8497109826589595,0.9219653179190752,0.8482658959537572,0.8524566473988439,0.132669756276519,32.0,168.0,2000.0,
reg3,252,9,reg3_m252_s1,346.0,pce_vqa_L8,1,674000,0.8092485549132948,0.9190751445086706,0.8049132947976878,0.8085260115606936,0.1290387336108738,32.0,168.0,2000.0,
er4,60,6,er4_m60_s0,99.0,genpce_es,0,20010,0.8686868686868687,0.9292929292929292,0.7484848484848484,0.7853535353535354,0.0701677770860185,20.0,34.0,16.0,76.72006439999677
er4,60,6,er4_m60_s0,99.0,random,0,20000,0.8181818181818182,0.8888888888888888,0.7151515151515151,0.7373737373737373,0.0391864244897774,,,,
er4,60,6,er4_m60_s0,99.0,genpce_es,1,20010,0.898989898989899,0.9393939393939394,0.859090909090909,0.8712121212121212,0.177787363711747,20.0,38.0,16.0,80.1087150000094
er4,60,6,er4_m60_s0,99.0,random,1,20000,0.8383838383838383,0.9393939393939394,0.7818181818181819,0.8075757575757576,0.087346875228019,,,,
er4,60,6,er4_m60_s0,99.0,pce_vqa_L4,0,116085,0.8686868686868687,0.9393939393939394,0.8757575757575757,0.8707070707070708,0.2110399744090385,10.0,54.0,1065.0,
er4,60,6,er4_m60_s0,99.0,pce_vqa_L4,1,109109,0.9393939393939394,0.9797979797979798,0.9373737373737372,0.937878787878788,0.1835970255632535,10.0,54.0,1001.0,
er4,60,6,er4_m60_s0,99.0,pce_vqa_L8,0,434000,0.9393939393939394,0.9494949494949496,0.9393939393939394,0.9393939393939394,0.2431255698808749,20.0,108.0,2000.0,
er4,60,6,er4_m60_s0,99.0,pce_vqa_L8,1,390383,1.0,1.0,1.0,1.0,0.2310516450866567,20.0,108.0,1799.0,
er4,60,6,er4_m60_s1,100.0,genpce_es,0,20010,0.94,0.95,0.898,0.914,0.1617459659905669,20.0,39.0,16.0,83.60729350001202
