family,m,n,instance,best_known,method,run,evaluations,ratio
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3310,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3360,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3410,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3460,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3510,0.8313253012048193
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3560,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3610,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3660,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3710,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3760,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3810,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3860,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3910,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,3960,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4010,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4060,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4110,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4160,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4210,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4260,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4310,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4360,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4410,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4460,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4510,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4560,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4610,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4660,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4710,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4760,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4810,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4860,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4910,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,4960,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5010,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5060,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5110,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5160,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5210,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5260,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5310,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5360,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5410,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5460,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5510,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5560,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5610,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5660,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5710,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5760,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5810,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5860,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5910,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,5960,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6010,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6060,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6110,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6160,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6210,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6260,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6310,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6360,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6410,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6460,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6510,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6560,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6610,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6660,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6710,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6760,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6810,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6860,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6910,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,6960,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7010,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7060,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7110,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7160,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7210,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7260,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7310,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7360,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7410,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7460,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7510,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7560,0.8433734939759037
reg3,60,6,reg3_m60_s0,83.0,genpce_es,0,7610,0.8433734939759037
