instance_id,grid,config,m,optimum,arm,cost,gates,ceiling,vocab_size
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,ceil3x_ref,-17.93790411528801,59,59,506
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,ceil3x_ref,-16.583268972729876,59,59,506
IEEE-14_core_b4l10_000,IEEE-14,core_b4l10,40,-1.2482096159673952,ceil3x_k3,-0.9734826359591752,59,59,506
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_ref,-33.2688007640227,59,59,506
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_ref,-33.2688007640227,59,59,506
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,-5.306622581715756,ceil3x_k3,-0.104489114121641,59,59,506
IEEE-118_v118_core_b4l10_000,IEEE-118,v118_core_b4l10,40,-16.30306280167277,ceil3x_k3,-16.30306280167281,59,59,506
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,0.0,ceil3x_k3,0.0,59,59,506
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,-16.583268972729833,ceil3x_ang16,-16.583268972729876,53,59,1010
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,-0.4314169239501244,ceil3x_ang16,-0.4314169239501244,59,59,1010
IEEE-14_core_b5l9_002,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_ang16,-29.32719834287083,59,59,1010
IEEE-118_v118_core_b5l9_000,IEEE-118,v118_core_b5l9,45,-17.937904115285356,ceil3x_ang16,-17.93790411528801,59,59,1010
IEEE-14_core_b5l9_000,IEEE-14,core_b5l9,45,-33.2688007640227,ceil3x_ang16,-33.2688007640227,59,59,1010
IEEE-30_v30_core_b4l10_000,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil3x_k3,-9.529155777470963,35,59,506
IEEE-118_v118_core_b5l9_002,IEEE-118,v118_core_b5l9,45,-22.13150435146947,ceil3x_ref,-22.131504351469125,59,59,506
IEEE-30_v30_core_b5l9_002,IEEE-30,v30_core_b5l9,45,-8.617337181390432,ceil3x_ref,-5.693827835482802,59,59,506
IEEE-30_v30_core_b4l10_001,IEEE-30,v30_core_b4l10,40,-7.0929238200428,ceil3x_ref,-7.092923820042806,59,59,506
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,-9.529155777470962,ceil3x_k3,-9.529155777470963,59,59,506
IEEE-30_v30_core_b5l9_000,IEEE-30,v30_core_b5l9,45,-9.274977316582069,ceil3x_ref,-9.274977316582069,59,59,506
