grid,instance,seed,cost_weighted,cost_deterministic,levels_weighted,levels_deterministic,decision_changed,n_sites_weighted,n_sites_det,total_levels_weighted,total_levels_det,tail_cost_stochastic_decision,tail_cost_deterministic_decision,vss
IEEE-118,0,257275422,-13.912566431151724,-20.98980884763032,"[4, 3, 0, 0, 4]","[5, 3, 0, 0, 3]",True,3,3,11,11,-13.912566431151724,-13.67230638586856,0.2402600452831649
IEEE-118,1,2018674312,-13.887959212845661,-18.564769991013158,"[4, 4, 0, 0, 4]","[3, 4, 0, 0, 5]",True,3,3,12,12,-13.887959212845661,-13.380836638308844,0.5071225745368171
IEEE-118,2,3780892466,-13.76088084818654,-15.894990169495612,"[4, 0, 0, 3, 3]","[3, 3, 0, 0, 4]",True,3,3,10,10,-13.76088084818654,-13.459837989407198,0.30104285877934167
IEEE-118,3,2522671012,-11.84126504975742,-12.420683495408136,"[4, 4, 0, 0, 4]","[0, 5, 0, 5, 4]",True,3,3,12,14,-11.84126504975742,-5.448023793633123,6.393241256124297
IEEE-118,4,137916935,-13.681602102962191,-22.015234389297213,"[5, 4, 0, 0, 4]","[5, 4, 0, 0, 4]",False,3,3,13,13,-13.681602102962191,-13.681602102962191,0.0
IEEE-118,5,2134852241,-12.619045156717126,-13.012151008879869,"[5, 4, 0, 0, 4]","[4, 0, 0, 4, 5]",True,3,3,13,13,-12.619045156717126,-12.293725350715533,0.32531980600159294
IEEE-118,6,3862303531,-15.607802106219356,-20.982014876954413,"[4, 0, 0, 3, 4]","[5, 3, 0, 0, 3]",True,3,3,11,11,-15.607802106219356,-15.4446628162874,0.1631392899319568
IEEE-118,7,2435916733,-15.04700133053476,-22.40637416755315,"[5, 0, 0, 4, 4]","[6, 4, 0, 0, 4]",True,3,3,13,14,-15.04700133053476,-14.662551315975408,0.3844500145593521
IEEE-118,8,26099244,-13.30991115408531,-23.718612428780922,"[5, 4, 0, 0, 4]","[6, 4, 5, 0, 3]",True,3,4,13,18,-13.30991115408531,-12.602997778915503,0.7069133751698065
IEEE-118,9,1988693690,-14.317852015086405,-26.261692052860468,"[5, 4, 0, 0, 4]","[5, 4, 5, 0, 5]",True,3,4,13,19,-14.317852015086405,-13.276134148333009,1.0417178667533964
