label,n,m,k,n_gates,bit_order,n_correlators,jobs,shots_total,sign_agreement,n_above_floor,sign_agreement_above_floor,magnitude_retention,pearson_r,sign_agreement_mitigated,magnitude_retention_mitigated,readout_err_mean
siting45,6,45,2,59,msb_first,45,3,3072,0.4666666666666667,18,0.3888888888888889,0.05110488244620667,0.08812632005968908,0.3888888888888889,0.07325354563395042,0.060628255208333336
siting45,6,45,2,59,lsb_first,45,3,3072,0.5555555555555556,18,0.6111111111111112,-0.0015563305573401802,-0.046137089597711935,0.6111111111111112,0.007518918649602913,0.060628255208333336
compress105,7,105,3,68,msb_first,105,3,3072,0.5428571428571428,24,0.4583333333333333,0.02494196795857413,0.03896120990735538,0.4583333333333333,0.032286912303007634,0.06005859375
compress105,7,105,3,68,lsb_first,105,3,3072,0.42857142857142855,24,0.25,-0.0972931382892792,-0.2113166069873432,0.25,-0.13756068098949553,0.06005859375
