instance_id,grid,config,m,B,L,gqe_seed,optimum,gqe_cost,sa_cost,tabu_cost,greedy1_cost,greedy20_cost,blind_cost,gqe_exact,sa_exact,tabu_exact,greedy1_exact,greedy20_exact,blind_exact,gqe_gap,blind_gap,n_gates
IEEE-14_core_b5l9_001,IEEE-14,core_b5l9,45,5,9,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,0.0,0.0,19
IEEE-14_core_b5l9_003,IEEE-14,core_b5l9,45,5,9,101,-1.2170556016287928,6.3768446957063745,-1.217055601628796,-1.217055601628796,24.794785156724604,24.794785156724604,-1.2007980695954903,False,True,True,False,False,False,7.593900297335168,0.01625753203330249,19
IEEE-14_core_b5l9_003,IEEE-14,core_b5l9,45,5,9,102,-1.2170556016287928,1.3917523935101177,-1.217055601628796,-1.217055601628796,24.794785156724604,24.794785156724604,-1.2007980695954903,False,True,True,False,False,False,2.6088079951389105,0.01625753203330249,19
IEEE-57_v57_core_b5l9_008,IEEE-57,v57_core_b5l9,45,5,9,101,-26.56478450035515,-26.564784500355138,-25.58423339101776,-26.564784500355138,-21.456269422150015,-26.564784500355138,-26.564784500355138,True,False,True,False,True,True,1.0658141036401503e-14,1.0658141036401503e-14,19
IEEE-57_v57_core_b5l9_008,IEEE-57,v57_core_b5l9,45,5,9,102,-26.56478450035515,-26.564784500355138,-25.58423339101776,-26.564784500355138,-21.456269422150015,-26.564784500355138,-26.564784500355138,True,False,True,False,True,True,1.0658141036401503e-14,1.0658141036401503e-14,19
IEEE-57_v57_core_b5l9_006,IEEE-57,v57_core_b5l9,45,5,9,101,-28.46603361684479,-25.358335362166542,-28.466033616844776,-27.110619305164644,-19.62540220388553,-19.801856804355186,-25.358335362166542,False,True,False,False,False,False,3.1076982546782475,3.1076982546782475,19
IEEE-57_v57_core_b5l9_006,IEEE-57,v57_core_b5l9,45,5,9,102,-28.46603361684479,-25.358335362166542,-28.466033616844776,-27.110619305164644,-19.62540220388553,-19.801856804355186,-25.358335362166542,False,True,False,False,False,False,3.1076982546782475,3.1076982546782475,19
IEEE-57_v57_core_b5l9_007,IEEE-57,v57_core_b5l9,45,5,9,101,-29.36817484116324,-23.30832827574618,-29.36817484116323,-27.64880004901544,-16.71957774723955,-23.2567015193951,-27.76702186164114,False,True,False,False,False,False,6.0598465654170575,1.601152979522098,19
IEEE-57_v57_core_b5l9_007,IEEE-57,v57_core_b5l9,45,5,9,102,-29.36817484116324,-27.546438102437893,-29.36817484116323,-27.64880004901544,-16.71957774723955,-23.2567015193951,-27.76702186164114,False,True,False,False,False,False,1.8217367387253454,1.601152979522098,19
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,4,10,101,-5.306622581715756,-0.10448911412164108,-5.306622581715796,-5.306622581715796,8.939468991665038,8.939468991665038,-5.306622581715796,False,True,True,False,False,True,5.202133467594115,-3.9968028886505635e-14,19
IEEE-14_core_b4l10_002,IEEE-14,core_b4l10,40,4,10,102,-5.306622581715756,-0.10448911412164108,-5.306622581715796,-5.306622581715796,8.939468991665038,8.939468991665038,-5.306622581715796,False,True,True,False,False,True,5.202133467594115,-3.9968028886505635e-14,19
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,4,10,101,-9.529155777470962,-5.728229102048955,-9.213061990675154,-9.529155777470965,3.6268834862868857,3.6268834862868857,-9.213061990675154,False,False,True,False,False,False,3.800926675422007,0.3160937867958076,19
IEEE-30_v30_core_b4l10_002,IEEE-30,v30_core_b4l10,40,4,10,102,-9.529155777470962,-9.213061990675154,-9.213061990675154,-9.529155777470965,3.6268834862868857,3.6268834862868857,-9.213061990675154,False,False,True,False,False,False,0.3160937867958076,0.3160937867958076,19
IEEE-118_v118_core_b4l10_007,IEEE-118,v118_core_b4l10,40,4,10,101,-8.370761972544551,-4.8141597000426515,-7.807404275903792,-8.020635223551155,1.930923029109053,1.930923029109053,-8.370761972544598,False,False,False,False,False,True,3.5566022725019,-4.618527782440651e-14,19
IEEE-118_v118_core_b4l10_007,IEEE-118,v118_core_b4l10,40,4,10,102,-8.370761972544551,-4.8141597000426515,-7.807404275903792,-8.020635223551155,1.930923029109053,1.930923029109053,-8.370761972544598,False,False,False,False,False,True,3.5566022725019,-4.618527782440651e-14,19
IEEE-30_v30_core_b4l10_004,IEEE-30,v30_core_b4l10,40,4,10,101,-8.371691025489064,-8.371691025489067,-8.371691025489067,-8.371691025489067,-8.371691025489067,-8.371691025489067,-8.371691025489067,True,True,True,True,True,True,-3.552713678800501e-15,-3.552713678800501e-15,19
IEEE-30_v30_core_b4l10_004,IEEE-30,v30_core_b4l10,40,4,10,102,-8.371691025489064,-8.371691025489067,-8.371691025489067,-8.371691025489067,-8.371691025489067,-8.371691025489067,-8.371691025489067,True,True,True,True,True,True,-3.552713678800501e-15,-3.552713678800501e-15,19
IEEE-14_core_b4l10_006,IEEE-14,core_b4l10,40,4,10,101,-30.078242069632097,-25.888352882252697,-30.078242069632086,-27.184031274077924,-19.91231448573743,-25.888352882252697,-30.078242069632086,False,True,False,False,False,True,4.1898891873794,1.0658141036401503e-14,19
IEEE-14_core_b4l10_006,IEEE-14,core_b4l10,40,4,10,102,-30.078242069632097,-25.888352882252697,-30.078242069632086,-27.184031274077924,-19.91231448573743,-25.888352882252697,-30.078242069632086,False,True,False,False,False,True,4.1898891873794,1.0658141036401503e-14,19
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,4,10,101,-16.583268972729833,-16.583268972729876,-16.425454286285607,-16.455341302428398,-13.137731196492581,-16.310768033104353,-16.583268972729876,True,False,False,False,False,True,-4.263256414560601e-14,-4.263256414560601e-14,19
IEEE-118_v118_core_b4l10_001,IEEE-118,v118_core_b4l10,40,4,10,102,-16.583268972729833,-16.583268972729876,-16.425454286285607,-16.455341302428398,-13.137731196492581,-16.310768033104353,-16.583268972729876,True,False,False,False,False,True,-4.263256414560601e-14,-4.263256414560601e-14,19
IEEE-14_core_b4l10_001,IEEE-14,core_b4l10,40,4,10,101,-0.4314169239501244,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,-0.43141692395012443,True,True,True,True,True,True,-5.551115123125783e-17,-5.551115123125783e-17,19
