scenario_id,kind,prob,n_intervals,load_scale,wind_scale,pv_scale,net_load_scale
s00,cluster,0.16892894714020593,19785,0.8612228993267467,0.22588817064665404,0.017994884795048932,1.1419661022805558
s01,cluster,0.09125663821251054,10688,0.9781259693472173,0.25402246141389967,2.74745905455964,0.9268448011135118
s02,cluster,0.08065215237232172,9446,0.8648742758647625,2.911583825412056,0.044381839330745756,0.44138543817206216
s03,cluster,0.03010581084742816,3526,0.9674345001112976,1.857128607969046,1.4513294359608688,0.6690551781452649
s04,cluster,0.039600326350077084,4638,0.9228095140888825,2.8024760367422052,2.4237324214941993,0.22734591085626227
s05,cluster,0.10767566097473526,12611,0.9298932171090294,1.0980232133519663,0.024359163428307806,1.0090662338788434
s06,cluster,0.0559168903119135,6549,1.263012659900741,0.15241348383968184,0.03114832343148749,1.7208425520253376
s07,cluster,0.0661286174172805,7745,1.0818643245330535,0.2683629036838943,1.906578733872137,1.1823935249632431
s08,cluster,0.057248854716961374,6705,1.0478626895207708,1.4813958007877372,2.6254118783721654,0.7200287544345394
s09,cluster,0.08988198264063421,10527,0.8853725339966453,2.021291581616102,0.025943263547281745,0.7052770224898736
s10,cluster,0.04556855147269542,5337,1.0940165598614757,0.29644992583063395,1.08763368979734,1.3033845070254932
s11,cluster,0.06703367015404381,7851,1.4636775888576572,0.1857119366731185,2.541129914215675,1.6512623312550279
tail_hi_netload,tail,0.10000189738919248,10541,1.5160922595796655,0.2665888015460027,1.2736603075285788,1.87570127275131
