family,m,n,instance,variant,run,seq_mult,best_known,ratio_raw,ratio_ls,ratio_1000shots,ratio_1000shots_min,ratio_4000shots,ratio_4000shots_min,median_abs_corr,min_abs_corr,seconds
reg3,252,9,reg3_m252_s0,shaped_4,0,24.0,348.0,0.7614942528735632,0.9080459770114943,0.6844827586206896,0.6494252873563219,0.719396551724138,0.6724137931034483,0.048810527996528366,1.491520884089239e-05,396.53732240002137
reg3,252,9,reg3_m252_s0,relaxed_only,0,24.0,348.0,0.7327586206896551,0.8764367816091954,0.7068965517241379,0.6752873563218391,0.7169540229885057,0.6867816091954023,0.08636245265332687,0.0011043486786587054,403.2146606000024
