target,family,method,run,ratio_raw,ratio_ls,median_abs_corr,rescore_best,hit_0.8,hit_0.85,hit_0.9,prior_mean,prior_max,prior_median_abs_corr,random_mean,random_max,random_median_abs_corr
reg3_m60_s6,reg3,cold,0,0.9259259259259259,0.9382716049382716,0.09146706609924732,0.8148148148148148,1210.0,1210.0,2610.0,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,prior_init,0,0.8765432098765432,0.9382716049382716,0.12023479541953633,0.8148148148148148,310.0,1110.0,,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,prior_prop,0,0.8765432098765432,0.9259259259259259,0.08070557807054796,0.8148148148148148,510.0,910.0,,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,db_rescore,0,0.8641975308641975,0.9382716049382716,0.07016132454883793,0.8148148148148148,10.0,360.0,,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,cold,1,0.8888888888888888,0.9629629629629629,0.09829664297326764,0.8148148148148148,1310.0,2410.0,,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,prior_init,1,0.8765432098765432,0.9259259259259259,0.06534651965040325,0.8148148148148148,860.0,7210.0,,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,prior_prop,1,0.8765432098765432,0.9506172839506173,0.10945136624638405,0.8148148148148148,360.0,10060.0,,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s6,reg3,db_rescore,1,0.9135802469135802,0.9382716049382716,0.07279786648621644,0.8148148148148148,10.0,1510.0,2260.0,0.5546913580246914,0.8024691358024691,0.05452283988269606,0.5568395061728395,0.7407407407407407,0.051520277193205274
reg3_m60_s7,reg3,cold,0,0.85,0.95,0.17523341728046382,0.825,410.0,1960.0,,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
reg3_m60_s7,reg3,prior_init,0,0.925,0.9375,0.04727901076363118,0.825,810.0,2810.0,4860.0,0.561375,0.7375,0.05452283988269606,0.5599999999999999,0.75,0.05290726883753165
